id,start_date,name,distance,moving_time,elapsed_time,total_elevation_gain,type,start_date_local,average_speed,max_speed,average_cadence,average_heartrate,max_heartrate,suffer_score
15138129741,2025-07-16T21:06:34Z,Flyby,8057.0,2305,2349,15.7,Run,2025-07-16T17:06:34Z,3.495,5.1,81.4,158.7,192.0,35.0
15127941068,2025-07-15T23:13:04Z,Sunsets and 6:40s,12891.9,3294,3560,79.0,Run,2025-07-15T19:13:04Z,3.914,6.06,82.8,174.3,193.0,106.0
15106137297,2025-07-14T00:39:20Z,22 for 22 🎉,4350.6,1394,1394,26.3,Run,2025-07-13T20:39:20Z,3.121,4.3,80.3,160.6,181.0,24.0
15105299359,2025-07-13T20:35:58Z,Afternoon Run,17714.2,5028,5028,43.1,Run,2025-07-13T16:35:58Z,3.523,4.583,82.7,146.1,164.0,29.0
15073694771,2025-07-10T22:19:23Z,Evening Run,12097.0,3647,3701,113.7,Run,2025-07-10T18:19:23Z,3.317,4.3,81.3,151.6,168.0,30.0
15062715766,2025-07-09T22:07:45Z,Old stomping grounds,8869.8,2221,2369,71.9,Run,2025-07-09T18:07:45Z,3.994,6.2,83.3,166.6,187.0,50.0
15050887207,2025-07-08T20:59:14Z,8 @ 8 on the 8th,12874.0,3835,4042,24.4,Run,2025-07-08T16:59:14Z,3.357,4.85,81.1,150.5,168.0,33.0
15039261239,2025-07-07T20:41:16Z,Hill #4 WAMP Workout,6457.9,1754,1758,88.7,Run,2025-07-07T16:41:16Z,3.682,4.983,82.2,147.8,163.0,11.0
15018764470,2025-07-05T18:58:37Z,Keep hammering,21143.5,5957,6321,145.4,Run,2025-07-05T14:58:37Z,3.549,5.36,83.7,165.3,187.0,134.0
15004954665,2025-07-04T13:35:42Z,5 4 the 4th,8052.2,2192,2208,33.2,Run,2025-07-04T09:35:42Z,3.673,5.22,83.1,147.3,160.0,12.0
14988840592,2025-07-02T22:00:18Z,Run,12881.3,3659,3801,24.0,Run,2025-07-02T18:00:18Z,3.52,5.025,82.4,165.3,201.0,84.0
14977767316,2025-07-01T21:23:13Z,Tired legs,6445.6,1720,1831,17.2,Run,2025-07-01T17:23:13Z,3.747,4.933,82.8,146.5,161.0,10.0
14956810232,2025-06-29T19:02:37Z,Afternoon Run,16134.2,4608,4851,6.8,Run,2025-06-29T15:02:37Z,3.501,4.92,83.3,152.7,176.0,41.0
14944839460,2025-06-28T17:26:19Z,From Jim,6447.9,1697,1697,39.1,Run,2025-06-28T13:26:19Z,3.8,5.84,82.8,162.2,187.0,33.0
14944131351,2025-06-28T16:18:40Z,To gym,3227.6,894,894,44.1,Run,2025-06-28T12:18:40Z,3.61,4.488,81.8,164.8,182.0,19.0
